dataset,censoring_rate,seed,model,search_method,candidate_id,fidelity_level,promoted,validation_calibrated_monotone_ipcw_ibs,runtime_sec,config_hash
azure,0.0,0,ocean_gru_kan,random_search,rs-001,fidelity_1,true,0.218,1.2,ogk-0a31f7c1
azure,0.0,0,ocean_gru_kan,random_search,rs-002,fidelity_2,true,0.182,2.4,ogk-1f2b3c4d
azure,0.0,0,ocean_gru_kan,random_search,rs-003,fidelity_3,false,0.154,5.1,ogk-0a31f7c1
azure,0.0,0,ocean_mamba_kan,ga_amfpo,ga-001,fidelity_1,true,0.224,1.5,omk-a1b2c3d4
azure,0.0,0,ocean_mamba_kan,ga_amfpo,ga-002,fidelity_2,true,0.197,3.0,omk-b2c3d4e5
azure,0.0,0,ocean_mamba_kan,ga_amfpo,ga-003,fidelity_3,false,0.149,5.8,omk-9c44d2ab
scania,0.0,0,ocean_transformer_kan,random_search,rs-101,fidelity_1,true,0.205,1.4,otk-11223344
scania,0.0,0,ocean_transformer_kan,random_search,rs-102,fidelity_2,true,0.178,2.7,otk-22334455
scania,0.0,0,ocean_transformer_kan,random_search,rs-103,fidelity_3,false,0.166,5.4,otk-3e77b5af
cmapss_fd004,0.3,0,ocean_transformer_kan,ga_amfpo,ga-201,fidelity_1,true,0.221,1.6,otk-55667788
cmapss_fd004,0.3,0,ocean_transformer_kan,ga_amfpo,ga-202,fidelity_2,true,0.197,3.2,otk-66778899
cmapss_fd004,0.3,0,ocean_transformer_kan,ga_amfpo,ga-203,fidelity_3,false,0.181,6.0,otk-3e77b5af
