sample_id,dataset,censoring_rate,unit_id,anchor_time,duration,event,event_type,horizon_1,horizon_2,horizon_3,horizon_4,static_feature_1,static_feature_2,seq_feature_mean_1,seq_feature_std_1,seq_feature_last_1,missing_rate,padding_rate,source_frame
sample_0001,azure,0,unit_0001,8093,187,1,1,24,72,168,336,19,0,170.194235,13.587866,155.292847,0,0,azure_0_frame.npz
sample_0002,azure,0,unit_0002,6884,1876,0,0,24,72,168,336,9,0,168.781506,15.644965,177.857941,0,0,azure_0_frame.npz
sample_0003,azure,0,unit_0003,6620,28,1,1,24,72,168,336,14,0,168.27761,19.57007,149.516754,0,0,azure_0_frame.npz
sample_0004,azure,0,unit_0004,5520,960,1,1,24,72,168,336,5,0,169.867886,13.411115,159.33223,0,0,azure_0_frame.npz
sample_0005,azure,0,unit_0005,1387,485,1,1,24,72,168,336,16,0,168.761398,13.899081,169.563202,0,0,azure_0_frame.npz
sample_0006,azure,0,unit_0006,1156,356,1,1,24,72,168,336,14,0,168.369057,17.336124,164.560562,0,0,azure_0_frame.npz
sample_0007,azure,0,unit_0007,6864,120,1,1,24,72,168,336,14,0,174.145116,21.828407,145.407516,0,0,azure_0_frame.npz
sample_0008,azure,0,unit_0008,3765,243,1,1,24,72,168,336,7,0,167.557237,10.948852,168.007645,0,0,azure_0_frame.npz
sample_0009,azure,0,unit_0009,2737,191,1,1,24,72,168,336,14,0,166.033797,18.049168,180.325439,0,0,azure_0_frame.npz
sample_0010,azure,0,unit_0010,7919,841,0,0,24,72,168,336,19,0,165.285437,13.323055,167.282715,0,0,azure_0_frame.npz
sample_0011,azure,0,unit_0011,8513,127,1,1,24,72,168,336,1,0,175.301941,20.237638,163.460297,0,0,azure_0_frame.npz
sample_0012,azure,0,unit_0012,7758,1002,0,0,24,72,168,336,7,0,166.340271,15.908431,168.042923,0,0,azure_0_frame.npz
sample_0013,azure,0,unit_0013,2170,1214,1,1,24,72,168,336,11,0,169.610397,16.835623,182.805557,0,0,azure_0_frame.npz
sample_0014,azure,0,unit_0014,5451,1077,1,1,24,72,168,336,10,0,190.830192,12.396076,194.573624,0,0,azure_0_frame.npz
sample_0015,azure,0,unit_0015,3645,339,1,1,24,72,168,336,3,0,169.28625,14.165303,159.528839,0,0,azure_0_frame.npz
