sample_id,dataset,censoring_rate,unit_id,anchor_time,duration,event,event_type,horizon_1,horizon_2,horizon_3,horizon_4,static_feature_1,static_feature_2,seq_feature_mean_1,seq_feature_std_1,seq_feature_last_1,missing_rate,padding_rate,source_frame
sample_0001,cmapss_fd004,0,unit_0001,35,219,1,1,24,72,168,336,0,0,25.50269,13.067902,25.006599,0,0,cmapss_fd004_0_frame.npz
sample_0002,cmapss_fd004,0,unit_0002,25,147,1,1,24,72,168,336,0,0,15.802845,15.969038,25.0033,0,0,cmapss_fd004_0_frame.npz
sample_0003,cmapss_fd004,0,unit_0003,90,55,1,1,24,72,168,336,0,0,24.002005,15.248348,35.0037,0,0,cmapss_fd004_0_frame.npz
sample_0004,cmapss_fd004,0,unit_0004,40,262,1,1,24,72,168,336,0,0,26.152355,11.412487,9.9996,0,0,cmapss_fd004_0_frame.npz
sample_0005,cmapss_fd004,0,unit_0005,60,110,1,1,24,72,168,336,0,0,18.05331,14.665436,20.004,0,0,cmapss_fd004_0_frame.npz
sample_0006,cmapss_fd004,0,unit_0006,70,91,1,1,24,72,168,336,0,0,21.9522,15.111142,0.0029,0,0,cmapss_fd004_0_frame.npz
sample_0007,cmapss_fd004,0,unit_0007,105,161,1,1,24,72,168,336,0,0,26.452095,15.299277,19.998899,0,0,cmapss_fd004_0_frame.npz
sample_0008,cmapss_fd004,0,unit_0008,140,86,1,1,24,72,168,336,0,0,22.70199,15.798789,0.0008,0,0,cmapss_fd004_0_frame.npz
sample_0009,cmapss_fd004,0,unit_0009,165,281,1,1,24,72,168,336,0,0,25.65317,13.176476,20.002899,0,0,cmapss_fd004_0_frame.npz
sample_0010,cmapss_fd004,0,unit_0010,55,107,1,1,24,72,168,336,0,0,23.05341,11.706623,10.0003,0,0,cmapss_fd004_0_frame.npz
sample_0011,cmapss_fd004,0,unit_0011,75,70,1,1,24,72,168,336,0,0,21.502165,16.393592,10.0016,0,0,cmapss_fd004_0_frame.npz
sample_0012,cmapss_fd004,0,unit_0012,120,23,1,1,24,72,168,336,0,0,21.302285,15.5217,20.004999,0,0,cmapss_fd004_0_frame.npz
sample_0013,cmapss_fd004,0,unit_0013,165,1,1,1,24,72,168,336,0,0,26.102785,13.619418,25.006701,0,0,cmapss_fd004_0_frame.npz
sample_0014,cmapss_fd004,0,unit_0014,170,128,1,1,24,72,168,336,0,0,29.453405,11.993129,35.007099,0,0,cmapss_fd004_0_frame.npz
sample_0015,cmapss_fd004,0,unit_0015,90,149,1,1,24,72,168,336,0,0,26.303445,16.245427,41.9991,0,0,cmapss_fd004_0_frame.npz
sample_0016,cmapss_fd004,0,unit_0016,165,37,1,1,24,72,168,336,0,0,20.102305,12.814882,20.007099,0,0,cmapss_fd004_0_frame.npz
sample_0017,cmapss_fd004,0,unit_0017,250,11,1,1,24,72,168,336,0,0,23.752745,16.146255,42.004902,0,0,cmapss_fd004_0_frame.npz
sample_0018,cmapss_fd004,0,unit_0018,215,170,1,1,24,72,168,336,0,0,22.753135,14.04272,25.004101,0,0,cmapss_fd004_0_frame.npz
sample_0019,cmapss_fd004,0,unit_0019,55,147,1,1,24,72,168,336,0,0,27.70327,13.420949,20.0019,0,0,cmapss_fd004_0_frame.npz
sample_0020,cmapss_fd004,0,unit_0020,220,159,1,1,24,72,168,336,0,0,25.70342,14.643329,9.9991,0,0,cmapss_fd004_0_frame.npz
sample_0021,cmapss_fd004,0,unit_0021,30,155,1,1,24,72,168,336,0,0,20.502055,10.235311,25.007601,0,0,cmapss_fd004_0_frame.npz
sample_0022,cmapss_fd004,0,unit_0022,40,330,1,1,24,72,168,336,0,0,25.301865,10.817927,25.0026,0,0,cmapss_fd004_0_frame.npz
sample_0023,cmapss_fd004,0,unit_0023,30,200,1,1,24,72,168,336,0,0,24.252715,15.466623,19.999399,0,0,cmapss_fd004_0_frame.npz
sample_0024,cmapss_fd004,0,unit_0024,165,63,1,1,24,72,168,336,0,0,23.002975,14.559741,25.0044,0,0,cmapss_fd004_0_frame.npz
