sample_id,dataset,censoring_rate,unit_id,anchor_time,duration,event,event_type,horizon_1,horizon_2,horizon_3,horizon_4,static_feature_1,static_feature_2,seq_feature_mean_1,seq_feature_std_1,seq_feature_last_1,missing_rate,padding_rate,source_frame
sample_0001,scania,0,unit_0001,178.600006,108.599998,0,0,24,72,168,336,1,0,1,1,0,0,0,scania_0_frame.npz
sample_0002,scania,0,unit_0002,115.400002,30.799999,0,0,24,72,168,336,1,0,1,1,0,0,0,scania_0_frame.npz
sample_0003,scania,0,unit_0003,188.199997,14.8,1,1,24,72,168,336,0,0,0,0,0,0,0,scania_0_frame.npz
sample_0004,scania,0,unit_0004,134.399994,72.599998,0,0,24,72,168,336,0,0,0,0,0,0,0,scania_0_frame.npz
sample_0005,scania,0,unit_0005,176.399994,54.599998,0,0,24,72,168,336,0,0,0,0,0,0,0,scania_0_frame.npz
sample_0006,scania,0,unit_0006,165,7,1,1,24,72,168,336,1,0,1,1,0,0,0,scania_0_frame.npz
sample_0007,scania,0,unit_0007,136,26.799999,0,0,24,72,168,336,0,0,0,0,0,0,0,scania_0_frame.npz
sample_0008,scania,0,unit_0008,305.799988,100,0,0,24,72,168,336,0,1,0,1,1,0,0,scania_0_frame.npz
sample_0009,scania,0,unit_0009,263.200012,16,0,0,24,72,168,336,1,0,1,1,0,0,0,scania_0_frame.npz
sample_0010,scania,0,unit_0010,266,22.4,0,0,24,72,168,336,1,0,1,1,0,0,0,scania_0_frame.npz
sample_0011,scania,0,unit_0011,231.600006,52,0,0,24,72,168,336,1,0,1,1,0,0,0,scania_0_frame.npz
sample_0012,scania,0,unit_0012,119,47.799999,0,0,24,72,168,336,1,0,1,1,0,0,0,scania_0_frame.npz
sample_0013,scania,0,unit_0013,133.600006,45,0,0,24,72,168,336,0,0,0,0,0,0,0,scania_0_frame.npz
sample_0014,scania,0,unit_0014,123.599998,7.4,1,1,24,72,168,336,1,0,1,1,0,0,0,scania_0_frame.npz
sample_0015,scania,0,unit_0015,221.600006,87.400002,0,0,24,72,168,336,0,1,0,1,1,0,0,scania_0_frame.npz
sample_0016,scania,0,unit_0016,253,25.200001,0,0,24,72,168,336,1,0,1,1,0,0,0,scania_0_frame.npz
sample_0017,scania,0,unit_0017,360.600006,82.800003,0,0,24,72,168,336,1,0,1,1,0,0,0,scania_0_frame.npz
sample_0018,scania,0,unit_0018,235.399994,122,0,0,24,72,168,336,0,1,0,1,1,0,0,scania_0_frame.npz
sample_0019,scania,0,unit_0019,174.199997,162.600006,0,0,24,72,168,336,1,0,1,1,0,0,0,scania_0_frame.npz
sample_0020,scania,0,unit_0020,131,242.800003,0,0,24,72,168,336,0,1,0,1,1,0,0,scania_0_frame.npz
sample_0021,scania,0,unit_0021,208.600006,135,0,0,24,72,168,336,0,0,0,0,0,0,0,scania_0_frame.npz
sample_0022,scania,0,unit_0022,353.399994,7,0,0,24,72,168,336,0,0,0,0,0,0,0,scania_0_frame.npz
sample_0023,scania,0,unit_0023,162.199997,232.399994,0,0,24,72,168,336,0,1,0,1,1,0,0,scania_0_frame.npz
sample_0024,scania,0,unit_0024,141.399994,78.599998,0,0,24,72,168,336,0,0,0,0,0,0,0,scania_0_frame.npz
sample_0025,scania,0,unit_0025,213.199997,88.599998,0,0,24,72,168,336,1,0,1,1,0,0,0,scania_0_frame.npz
sample_0026,scania,0,unit_0026,228,44.599998,0,0,24,72,168,336,1,0,1,1,0,0,0,scania_0_frame.npz
sample_0027,scania,0,unit_0027,174.199997,44,0,0,24,72,168,336,1,0,1,1,0,0,0,scania_0_frame.npz
sample_0028,scania,0,unit_0028,94.800003,188.800003,1,1,24,72,168,336,0,1,0,1,1,0,0,scania_0_frame.npz
sample_0029,scania,0,unit_0029,105.199997,233.800003,0,0,24,72,168,336,0,1,0,1,1,0,0,scania_0_frame.npz
sample_0030,scania,0,unit_0030,84.800003,58.400002,0,0,24,72,168,336,0,0,0,0,0,0,0,scania_0_frame.npz
sample_0031,scania,0,unit_0031,82.800003,0.2,1,1,24,72,168,336,0,1,0,1,1,0,0,scania_0_frame.npz
sample_0032,scania,0,unit_0032,165.199997,30.200001,0,0,24,72,168,336,0,0,0,0,0,0,0,scania_0_frame.npz
sample_0033,scania,0,unit_0033,369.399994,32.400002,0,0,24,72,168,336,1,0,1,1,0,0,0,scania_0_frame.npz
sample_0034,scania,0,unit_0034,341.399994,5,0,0,24,72,168,336,1,0,1,1,0,0,0,scania_0_frame.npz
sample_0035,scania,0,unit_0035,106.599998,287,1,1,24,72,168,336,1,0,1,1,0,0,0,scania_0_frame.npz
sample_0036,scania,0,unit_0036,214.199997,127.199997,0,0,24,72,168,336,0,0,0,0,0,0,0,scania_0_frame.npz
sample_0037,scania,0,unit_0037,105,128,0,0,24,72,168,336,1,0,1,1,0,0,0,scania_0_frame.npz
sample_0038,scania,0,unit_0038,132.800003,22.4,0,0,24,72,168,336,0,0,0,0,0,0,0,scania_0_frame.npz
sample_0039,scania,0,unit_0039,184.600006,5,0,0,24,72,168,336,0,0,0,0,0,0,0,scania_0_frame.npz
sample_0040,scania,0,unit_0040,200.199997,27.799999,0,0,24,72,168,336,1,0,1,1,0,0,0,scania_0_frame.npz
sample_0041,scania,0,unit_0041,238.199997,75.599998,0,0,24,72,168,336,1,0,1,1,0,0,0,scania_0_frame.npz
sample_0042,scania,0,unit_0042,287.600006,52.599998,1,1,24,72,168,336,1,0,1,1,0,0,0,scania_0_frame.npz
sample_0043,scania,0,unit_0043,153.399994,115.199997,0,0,24,72,168,336,0,0,0,0,0,0,0,scania_0_frame.npz
sample_0044,scania,0,unit_0044,197.600006,16.4,0,0,24,72,168,336,1,0,1,1,0,0,0,scania_0_frame.npz
sample_0045,scania,0,unit_0045,298.799988,113.599998,0,0,24,72,168,336,1,0,1,1,0,0,0,scania_0_frame.npz
sample_0046,scania,0,unit_0046,142.800003,149.399994,0,0,24,72,168,336,0,0,0,0,0,0,0,scania_0_frame.npz
sample_0047,scania,0,unit_0047,97,85.199997,0,0,24,72,168,336,0,0,0,0,0,0,0,scania_0_frame.npz
sample_0048,scania,0,unit_0048,162.399994,96.400002,0,0,24,72,168,336,1,0,1,1,0,0,0,scania_0_frame.npz
sample_0049,scania,0,unit_0049,97,75,1,1,24,72,168,336,0,1,0,1,1,0,0,scania_0_frame.npz
sample_0050,scania,0,unit_0050,275.399994,26.200001,0,0,24,72,168,336,0,1,0,1,1,0,0,scania_0_frame.npz
sample_0051,scania,0,unit_0051,127.599998,187.399994,0,0,24,72,168,336,0,0,0,0,0,0,0,scania_0_frame.npz
sample_0052,scania,0,unit_0052,121.599998,231.199997,0,0,24,72,168,336,0,1,0,1,1,0,0,scania_0_frame.npz
sample_0053,scania,0,unit_0053,123.199997,61,0,0,24,72,168,336,0,0,0,0,0,0,0,scania_0_frame.npz
sample_0054,scania,0,unit_0054,117,90.400002,1,1,24,72,168,336,1,0,1,1,0,0,0,scania_0_frame.npz
sample_0055,scania,0,unit_0055,161.800003,114.800003,1,1,24,72,168,336,1,0,1,1,0,0,0,scania_0_frame.npz
sample_0056,scania,0,unit_0056,187.800003,17.6,0,0,24,72,168,336,1,0,1,1,0,0,0,scania_0_frame.npz
sample_0057,scania,0,unit_0057,275.799988,45.200001,0,0,24,72,168,336,1,0,1,1,0,0,0,scania_0_frame.npz
sample_0058,scania,0,unit_0058,242.800003,84.800003,0,0,24,72,168,336,1,0,1,1,0,0,0,scania_0_frame.npz
sample_0059,scania,0,unit_0059,213.399994,77.800003,0,0,24,72,168,336,0,0,0,0,0,0,0,scania_0_frame.npz
sample_0060,scania,0,unit_0060,66.599998,89.400002,0,0,24,72,168,336,0,0,0,0,0,0,0,scania_0_frame.npz
sample_0061,scania,0,unit_0061,288.200012,6.6,0,0,24,72,168,336,1,0,1,1,0,0,0,scania_0_frame.npz
sample_0062,scania,0,unit_0062,73.599998,131,1,1,24,72,168,336,0,0,0,0,0,0,0,scania_0_frame.npz
sample_0063,scania,0,unit_0063,110.400002,174,0,0,24,72,168,336,0,1,0,1,1,0,0,scania_0_frame.npz
sample_0064,scania,0,unit_0064,176.199997,151.800003,0,0,24,72,168,336,0,1,0,1,1,0,0,scania_0_frame.npz
sample_0065,scania,0,unit_0065,190.199997,196.399994,0,0,24,72,168,336,1,0,1,1,0,0,0,scania_0_frame.npz
sample_0066,scania,0,unit_0066,105.599998,208,0,0,24,72,168,336,1,0,1,1,0,0,0,scania_0_frame.npz
sample_0067,scania,0,unit_0067,98.599998,124.599998,0,0,24,72,168,336,0,0,0,0,0,0,0,scania_0_frame.npz
sample_0068,scania,0,unit_0068,304.600006,184.600006,0,0,24,72,168,336,0,1,0,1,1,0,0,scania_0_frame.npz
sample_0069,scania,0,unit_0069,172.600006,100.199997,0,0,24,72,168,336,0,0,0,0,0,0,0,scania_0_frame.npz
sample_0070,scania,0,unit_0070,116.400002,72.599998,0,0,24,72,168,336,0,0,0,0,0,0,0,scania_0_frame.npz
sample_0071,scania,0,unit_0071,329.600006,19,0,0,24,72,168,336,1,0,1,1,0,0,0,scania_0_frame.npz
sample_0072,scania,0,unit_0072,246.600006,70.599998,0,0,24,72,168,336,1,0,1,1,0,0,0,scania_0_frame.npz
sample_0073,scania,0,unit_0073,209.399994,177.600006,0,0,24,72,168,336,0,1,0,1,1,0,0,scania_0_frame.npz
sample_0074,scania,0,unit_0074,141.800003,95.599998,0,0,24,72,168,336,0,1,0,1,1,0,0,scania_0_frame.npz
sample_0075,scania,0,unit_0075,93.199997,52,0,0,24,72,168,336,1,0,1,1,0,0,0,scania_0_frame.npz
sample_0076,scania,0,unit_0076,196.399994,19.6,0,0,24,72,168,336,0,1,0,1,1,0,0,scania_0_frame.npz
sample_0077,scania,0,unit_0077,191.800003,56.799999,0,0,24,72,168,336,0,0,0,0,0,0,0,scania_0_frame.npz
sample_0078,scania,0,unit_0078,146.800003,1.4,0,0,24,72,168,336,0,0,0,0,0,0,0,scania_0_frame.npz
sample_0079,scania,0,unit_0079,109.599998,278.200012,0,0,24,72,168,336,0,0,0,0,0,0,0,scania_0_frame.npz
sample_0080,scania,0,unit_0080,84.800003,354.799988,0,0,24,72,168,336,1,0,1,1,0,0,0,scania_0_frame.npz
sample_0081,scania,0,unit_0081,156.399994,25.6,0,0,24,72,168,336,0,0,0,0,0,0,0,scania_0_frame.npz
sample_0082,scania,0,unit_0082,151.800003,53.400002,0,0,24,72,168,336,0,0,0,0,0,0,0,scania_0_frame.npz
sample_0083,scania,0,unit_0083,168,50.799999,0,0,24,72,168,336,0,0,0,0,0,0,0,scania_0_frame.npz
sample_0084,scania,0,unit_0084,131.800003,231.600006,0,0,24,72,168,336,0,1,0,1,1,0,0,scania_0_frame.npz
sample_0085,scania,0,unit_0085,246.199997,73.800003,0,0,24,72,168,336,1,0,1,1,0,0,0,scania_0_frame.npz
sample_0086,scania,0,unit_0086,143.800003,173.199997,0,0,24,72,168,336,1,0,1,1,0,0,0,scania_0_frame.npz
sample_0087,scania,0,unit_0087,121,309.600006,0,0,24,72,168,336,0,0,0,0,0,0,0,scania_0_frame.npz
sample_0088,scania,0,unit_0088,178.800003,113.400002,0,0,24,72,168,336,1,0,1,1,0,0,0,scania_0_frame.npz
sample_0089,scania,0,unit_0089,104,149.600006,0,0,24,72,168,336,1,0,1,1,0,0,0,scania_0_frame.npz
