sample_id,dataset,unit_id,anchor_time,duration,event,event_type,censoring_rate,horizon_1,horizon_2,horizon_3,horizon_4,static_feature_1,static_feature_2,seq_feature_mean_1,seq_feature_std_1,seq_feature_last_1,missing_rate,padding_rate
s001,azure,AZ-1001,2026-05-01T08:00:00Z,14.5,1,observed_failure,0.0,3,6,9,12,0.82,0.41,0.28,0.05,0.31,0.0,0.0
s002,azure,AZ-1002,2026-05-03T10:30:00Z,18.0,0,right_censored,0.3,4,8,12,16,0.77,0.36,0.25,0.07,0.2,0.02,0.0
s003,azure,AZ-1003,2026-05-04T11:15:00Z,12.0,1,observed_failure,0.3,2,4,8,12,0.69,0.44,0.34,0.08,0.39,0.01,0.0
s004,azure,AZ-1004,2026-05-05T09:00:00Z,9.5,0,right_censored,0.0,1,2,4,8,0.61,0.33,0.21,0.04,0.18,0.0,0.1
s005,azure,AZ-1005,2026-05-06T14:30:00Z,22.2,1,observed_failure,0.0,5,10,15,20,0.88,0.52,0.47,0.09,0.51,0.03,0.0
s006,scania,SC-2001,2026-05-10T07:45:00Z,19.5,0,right_censored,0.3,4,8,16,32,0.57,0.49,0.19,0.05,0.17,0.04,0.0
s007,scania,SC-2002,2026-05-11T08:20:00Z,16.0,1,observed_failure,0.3,3,6,12,24,0.64,0.45,0.31,0.06,0.36,0.05,0.0
s008,scania,SC-2003,2026-05-12T09:10:00Z,25.0,0,right_censored,0.3,5,10,20,40,0.52,0.39,0.22,0.03,0.2,0.02,0.0
s009,scania,SC-2004,2026-05-13T10:05:00Z,13.2,1,observed_failure,0.0,2,4,8,16,0.71,0.48,0.29,0.07,0.35,0.0,0.0
s010,scania,SC-2005,2026-05-14T12:40:00Z,20.8,0,right_censored,0.3,4,8,12,24,0.54,0.42,0.24,0.04,0.22,0.07,0.02
s011,cmapss_fd001,FD001-001,2026-04-18T06:00:00Z,21.0,1,observed_failure,0.0,5,10,20,40,0.83,0.56,0.46,0.08,0.52,0.01,0.0
s012,cmapss_fd001,FD001-002,2026-04-19T06:00:00Z,14.2,0,right_censored,0.3,3,6,12,24,0.67,0.43,0.25,0.06,0.23,0.0,0.0
s013,cmapss_fd001,FD001-003,2026-04-20T06:00:00Z,19.0,1,observed_failure,0.0,4,8,16,32,0.79,0.51,0.37,0.05,0.42,0.02,0.0
s014,cmapss_fd001,FD001-004,2026-04-21T06:00:00Z,11.8,0,right_censored,0.3,2,4,8,16,0.63,0.41,0.21,0.03,0.19,0.04,0.0
s015,cmapss_fd001,FD001-005,2026-04-22T06:00:00Z,24.5,1,observed_failure,0.0,6,12,18,24,0.87,0.59,0.49,0.09,0.55,0.0,0.0
s016,cmapss_fd004,FD004-001,2026-03-10T09:15:00Z,26.0,1,observed_failure,0.0,8,16,24,32,0.81,0.62,0.53,0.1,0.6,0.03,0.0
s017,cmapss_fd004,FD004-002,2026-03-11T09:15:00Z,17.8,0,right_censored,0.3,4,8,16,24,0.58,0.47,0.27,0.05,0.24,0.06,0.01
s018,cmapss_fd004,FD004-003,2026-03-12T09:15:00Z,22.0,1,observed_failure,0.0,5,10,15,25,0.72,0.53,0.38,0.06,0.44,0.01,0.0
s019,cmapss_fd004,FD004-004,2026-03-13T09:15:00Z,13.6,0,right_censored,0.3,3,6,12,24,0.62,0.46,0.23,0.04,0.21,0.05,0.02
s020,cmapss_fd004,FD004-005,2026-03-14T09:15:00Z,28.4,1,observed_failure,0.0,7,14,21,28,0.85,0.57,0.51,0.08,0.58,0.0,0.0
