dataset,censoring_rate,seed,model,validation_calibrated_monotone_ipcw_ibs,test_calibrated_monotone_ipcw_ibs,c_index,ece,cost_top10,riw,runtime_sec,selected_by_validation
azure,0.0,0,coxph,0.214,0.221,0.71,0.08,0.19,0.63,2.4,false
azure,0.0,0,rsf,0.198,0.205,0.73,0.07,0.17,0.66,4.8,false
azure,0.0,0,coxkan,0.186,0.193,0.75,0.06,0.16,0.69,6.2,false
azure,0.0,0,deephit_mlp,0.181,0.188,0.76,0.06,0.15,0.71,8.5,false
azure,0.0,0,dynamic_deephit_gru,0.172,0.179,0.77,0.05,0.14,0.74,10.8,false
azure,0.0,0,dynamic_deephit_transformer,0.166,0.173,0.78,0.05,0.13,0.76,12.4,false
azure,0.0,0,ocean_gru_kan,0.154,0.161,0.8,0.04,0.11,0.8,13.2,false
azure,0.0,0,ocean_mamba_kan,0.149,0.157,0.81,0.04,0.1,0.82,14.0,false
azure,0.0,0,ocean_transformer_kan,0.143,0.15,0.83,0.03,0.09,0.85,15.1,true
cmapss_fd004,0.3,0,coxph,0.244,0.251,0.68,0.1,0.23,0.58,2.9,false
cmapss_fd004,0.3,0,rsf,0.229,0.236,0.7,0.09,0.21,0.61,5.3,false
cmapss_fd004,0.3,0,coxkan,0.218,0.225,0.72,0.08,0.2,0.64,6.8,false
cmapss_fd004,0.3,0,deephit_mlp,0.213,0.22,0.73,0.08,0.19,0.66,9.0,false
cmapss_fd004,0.3,0,dynamic_deephit_gru,0.205,0.212,0.75,0.07,0.18,0.69,11.1,false
cmapss_fd004,0.3,0,dynamic_deephit_transformer,0.198,0.205,0.76,0.07,0.17,0.71,12.9,false
cmapss_fd004,0.3,0,ocean_gru_kan,0.187,0.193,0.79,0.06,0.15,0.76,13.5,false
cmapss_fd004,0.3,0,ocean_mamba_kan,0.179,0.186,0.8,0.05,0.14,0.79,14.3,true
cmapss_fd004,0.3,0,ocean_transformer_kan,0.181,0.188,0.81,0.05,0.13,0.81,15.6,false
